rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-2477641376863858799	77202K000	PostSurge	1948	0	0	180	0	0	6592	3454	0	365	16330	0	1627	21912	0	1992	11	0	1
8976013293400652448	77202K000	PreSurge	0	0	0	0	0	0	0	1345	0	538	0	0	0	1345	0	538	5	0	2
8976013293400652448	77202K000	Surge	0	0	0	0	0	0	0	0	0	151	1155	0	311	1155	0	462	5	0	2
8976013293400652448	77202K000	PostSurge	986	0	480	120	0	60	6592	971	0	175	7883	0	3269	9960	0	3984	5	0	2
-6772356965118744613	77202K000	PreSurge	0	0	0	0	0	0	0	4035	0	0	0	0	0	4035	0	0	15	0	0
-6772356965118744613	77202K000	Surge	0	0	0	0	0	0	0	62	0	0	3403	0	0	3465	0	0	15	0	0
-6772356965118744613	77202K000	PostSurge	1282	0	0	90	0	0	6592	5249	0	0	23259	0	0	29880	0	0	15	0	0
-5536630875295603153	77202K000	PreSurge	0	0	0	0	0	0	0	2421	0	538	0	0	0	2421	0	538	9	0	2
-5536630875295603153	77202K000	Surge	0	0	0	0	0	0	0	73	0	0	2006	0	462	2079	0	462	9	0	2
-5536630875295603153	77202K000	PostSurge	817	0	480	60	0	60	6592	3178	0	152	13873	0	3292	17928	0	3984	9	0	2
7765557456844232617	77202K000	PreSurge	0	0	0	0	0	0	0	3766	0	269	0	0	0	3766	0	269	14	0	1
7765557456844232617	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	3234	0	231	3234	0	231	14	0	1
7765557456844232617	77202K000	PostSurge	2160	0	76	264	0	0	6592	4169	0	324	21295	0	1592	27888	0	1992	14	0	1
5816783378753256221	77202K000	PreSurge	0	0	0	0	0	0	0	1614	0	538	0	0	0	1614	0	538	6	0	2
5816783378753256221	77202K000	Surge	0	0	0	0	0	0	0	67	0	0	1319	0	462	1386	0	462	6	0	2
5816783378753256221	77202K000	PostSurge	680	0	240	60	0	30	6592	1946	0	633	9266	0	3081	11952	0	3984	6	0	2
-7902210446970826476	77202K000	PreSurge	0	0	0	0	0	0	0	1883	0	269	0	0	0	1883	0	269	7	0	1
-7902210446970826476	77202K000	Surge	0	0	0	0	0	0	0	105	0	11	1512	0	220	1617	0	231	7	0	1
-7902210446970826476	77202K000	PostSurge	1680	0	240	210	0	30	6592	1397	0	0	10657	0	1722	13944	0	1992	7	0	1
6843968935032545040	77202K000	PreSurge	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	538	0	0	2
6843968935032545040	77202K000	Surge	0	0	0	0	0	0	0	0	0	231	0	0	231	0	0	462	0	0	2
6843968935032545040	77202K000	PostSurge	0	0	480	0	0	60	6592	0	0	419	0	0	3025	0	0	3984	0	0	2
-7079607983502818874	77202K000	PreSurge	0	0	0	0	0	0	0	3766	0	0	0	0	0	3766	0	0	14	0	0
-7079607983502818874	77202K000	Surge	0	0	0	0	0	0	0	26	0	0	3208	0	0	3234	0	0	14	0	0
-7079607983502818874	77202K000	PostSurge	1346	0	0	150	0	0	6592	4614	0	0	21778	0	0	27888	0	0	14	0	0
-2364603267878439993	77202K000	PreSurge	0	0	0	0	0	0	0	3497	0	538	0	0	0	3497	0	538	13	0	2
